statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2020-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BILSA1;Schulart;SCHULE13;Abendrealschulen;BILJG1;Jahrgangsstufen;STUFE04;Klassenstufe 4;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2017-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BILSA1;Schulart;SCHULE04;Schulartunabhängige Orientierungsstufen;BILJG1;Jahrgangsstufen;STUFE08;Klassenstufe 8;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2017-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BILSA1;Schulart;SCHULE13;Abendrealschulen;BILJG1;Jahrgangsstufen;;Insgesamt;16777;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2006-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE11;Förderschulen;BILJG1;Jahrgangsstufen;STUFE13;Jahrgangsstufe 13 / Qualifizierungsphase Q2;220;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2009-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BILSA1;Schulart;SCHULE12;Abendhauptschulen;BILJG1;Jahrgangsstufen;STUFE13;Jahrgangsstufe 13 / Qualifizierungsphase Q2;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2019-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILJG1;Jahrgangsstufen;STUFE10;Klassenstufe 10;61722;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2002-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE13;Abendrealschulen;BILJG1;Jahrgangsstufen;STUFE02;Klassenstufe 2;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2008-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE07;Realschulen;BILJG1;Jahrgangsstufen;STUFE08;Klassenstufe 8;106537;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2001-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;;Insgesamt;BILJG1;Jahrgangsstufen;STUFE10;Klassenstufe 10;370065;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2004-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BILSA1;Schulart;SCHULE07;Realschulen;BILJG1;Jahrgangsstufen;STUFE10;Klassenstufe 10;116862;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2012-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BILSA1;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILJG1;Jahrgangsstufen;;Insgesamt;346994;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2006-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE06;Schularten mit zwei Bildungsgängen;BILJG1;Jahrgangsstufen;STUFE95;Keine Angabe;262;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2013-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE12;Abendhauptschulen;BILJG1;Jahrgangsstufen;STUFE07;Klassenstufe 7;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2020-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE11;Förderschulen;BILJG1;Jahrgangsstufen;STUFE07;Klassenstufe 7;8583;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2005-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BILSA1;Schulart;SCHULE14;Abendgymnasien;BILJG1;Jahrgangsstufen;STUFE02;Klassenstufe 2;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE15;Kollegs;BILJG1;Jahrgangsstufen;STUFE01;Klassenstufe 1;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2016-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BILSA1;Schulart;SCHULE07;Realschulen;BILJG1;Jahrgangsstufen;STUFE11;Jahrgangsstufe 11 / Einführungsphase E;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2005-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BILSA1;Schulart;SCHULE10;Freie Waldorfschulen;BILJG1;Jahrgangsstufen;STUFE11;Jahrgangsstufe 11 / Einführungsphase E;2610;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2002-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BILSA1;Schulart;SCHULE15;Kollegs;BILJG1;Jahrgangsstufen;STUFE10;Klassenstufe 10;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2002-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE081;Gymnasien (G9);BILJG1;Jahrgangsstufen;STUFE03;Klassenstufe 3;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2023-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE13;Abendrealschulen;BILJG1;Jahrgangsstufen;STUFE13;Jahrgangsstufe 13 / Qualifizierungsphase Q2;-;Anzahl;BIL001;Schüler;
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2012-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILJG1;Jahrgangsstufen;STUFE06;Klassenstufe 6;43218;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2013-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE05;Hauptschulen;BILJG1;Jahrgangsstufen;STUFE95;Keine Angabe;296;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2003-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BILSA1;Schulart;SCHULE14;Abendgymnasien;BILJG1;Jahrgangsstufen;STUFE95;Keine Angabe;19584;Anzahl;BIL001;Schüler;e
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2007-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BILSA1;Schulart;SCHULE03;Grundschulen;BILJG1;Jahrgangsstufen;STUFE02;Klassenstufe 2;369533;Anzahl;BIL001;Schüler;e
